"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2020;3;2;02/03/20;"Sarco";-66,175556;-17,384167;2587;"4.10";"30.00";"12.80";"64.00";"39.00";"51.00";"15.80";"0.00";"6.00";"0.00";"6.08"
2020;3;3;03/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"7.20";"25.00";"12.90";"94.00";"47.00";"67.00";"11.00";"5.00";"7.00";"15.00";"4.76"
2020;3;3;03/03/20;"Sarco";-66,175556;-17,384167;2587;"6.40";"27.50";"12.00";"82.00";"36.00";"58.00";"40.80";"0.00";"6.00";"0.00";"5.51"
2020;3;4;04/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"4.90";"26.20";"11.40";"92.00";"35.00";"56.00";"11.00";"5.00";"9.00";"6.00";"5.23"
2020;3;4;04/03/20;"Sarco";-66,175556;-17,384167;2587;"7.50";"29.50";"10.00";"74.00";"24.00";"43.00";"9.30";"0.00";"14.00";"0.00";"6.16"
2020;3;5;05/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.30";"13.50";"63.00";"31.00";"43.00";"11.00";"5.00";"4.00";"12.00";"5.00"
2020;3;5;05/03/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"13.30";"63.00";"27.00";"49.00";"40.80";"0.00";"4.00";"0.00";"5.72"
2020;3;6;06/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.10";"26.20";"13.10";"60.00";"34.00";"44.00";"26.00";"5.00";"4.00";"7.00";"5.00"
2020;3;6;06/03/20;"Sarco";-66,175556;-17,384167;2587;"0.60";"30.50";"15.00";"66.00";"26.00";"45.00";"15.80";"0.00";"12.00";"0.00";"5.90"
2020;3;7;07/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.10";"28.50";"9.60";"83.00";"23.00";"46.00";"11.00";"0.00";"12.00";"0.00";"5.90"
2020;3;7;07/03/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.70";"10.00";;;;;;;;"6.63"
2020;3;8;08/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.80";"10.00";"80.00";"27.00";"45.00";"22.00";"0.00";"4.00";"0.00";"6.16"
2020;3;8;08/03/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.50";"12.80";;;;;;;;"6.59"
2020;3;9;09/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.30";"13.80";"75.00";"31.00";"47.00";"27.00";"0.00";"6.00";"0.00";"5.15"
2020;3;9;09/03/20;"Sarco";-66,175556;-17,384167;2587;"0.30";"29.00";"14.00";"69.00";"32.00";"46.00";"31.50";"0.00";"7.00";"0.00";"5.57"
2020;3;10;10/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.20";"15.00";"51.00";"30.00";"38.00";"16.00";"7.00";"5.00";"12.00";"4.41"
2020;3;10;10/03/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.80";"14.50";"53.00";"30.00";"39.00";"15.80";"0.00";"4.00";"0.00";"5.18"
2020;3;11;11/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.40";"10.60";"93.00";"36.00";"57.00";"13.00";"5.00";"12.00";"5.00";"5.24"
2020;3;11;11/03/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"12.00";"57.00";"32.00";"42.00";"15.80";"0.00";"2.00";"0.00";"5.49"
2020;3;12;12/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.20";"12.20";"81.00";"32.00";"48.00";"13.00";"0.00";"3.00";"0.00";"5.26"
